Rank,Hashtag,Occurrences,Frequency,
0,babyshower,947,1.0000,
1,fyp,273,0.2883,
2,baby,124,0.1309,
3,foryou,96,0.1014,
4,pregnant,79,0.0834,
5,viral,79,0.0834,
6,pregnancy,71,0.0750,
7,babyshowerideas,67,0.0707,
8,parati,63,0.0665,
9,diy,57,0.0602,
10,genderreveal,53,0.0560,
11,babyboy,52,0.0549,
12,babygirl,52,0.0549,
13,fypシ,52,0.0549,
14,foryoupage,51,0.0539,
15,genderrevealparty,36,0.0380,
16,love,32,0.0338,
17,itsaboy,25,0.0264,
18,decor,24,0.0253,
19,itsagirl,23,0.0243,
Total,posts:,947,,
