Rank,Hashtag,Occurrences,Frequency,
0,party,958,1.0000,
1,fyp,435,0.4541,
2,foryou,256,0.2672,
3,viral,187,0.1952,
4,foryoupage,127,0.1326,
5,fypシ,106,0.1106,
6,funny,71,0.0741,
7,comedy,64,0.0668,
8,parati,64,0.0668,
9,dance,51,0.0532,
10,frat,47,0.0491,
11,fy,45,0.0470,
12,friends,41,0.0428,
13,birthday,40,0.0418,
14,college,40,0.0418,
15,fiesta,37,0.0386,
16,trending,34,0.0355,
17,fun,30,0.0313,
18,drunk,29,0.0303,
19,trend,27,0.0282,
Total,posts:,958,,
